Job Type,Scale 1,Scale 2,Scale 3,Scale 4,Scale 5,Scale 6,Scale 7,Scale 8,Scale 9,Scale 10,Scale 11,Scale 12,Scale 13,Scale 14,Scale 15,Scale 16,Scale 17,Scale 18,,,,,,,,,,,,,,,,,
President,"240716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vice President,"184171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Full Professor,"140068","148055","156042","164028","172016","177078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professor,"101447","108276","115107","121935","128770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Professor A,"87548","91018","94492","97988","101461","104948","108430","111916","115395",,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Professor B,"62069","73093","77006","79703","83634","87604","91563","95514","99471",,,,,,,,,,,,,,,,,,,,,,,,,,
Assistant Professor,"46955","49543","51676","53644","55689","57323","58990","60654","62314","63965",,,,,,,,,,,,,,,,,,,,,,,,,
Teaching Assistant,"37010","40061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Administrative Officer III,"106800","113990","121181","128369","135565","142758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Administrative Officer II,"94941","98703","102487","106270","110030","113810","117589","121368","125140",,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Administrative Officer I,"67132","69712","72480","75725","79088","82103","86389","90697","95004","99296","103583","107875",,,,,,,,,,,,,,,,,,,,,,,
Senior Executive Administrator,"58657","60174","61704","63240","64776","66317","68510","72779","77291","79691","83397",,,,,,,,,,,,,,,,,,,,,,,,
Executive Administrator,"44752","47050","49360","51268","53218","55306","57462","59557","61263","62840","64409",,,,,,,,,,,,,,,,,,,,,,,,
Senior Administrator,"39893","40785","42037","43282","44546","45799","47069","48336","49613","50660","51944","53265",,,,,,,,,,,,,,,,,,,,,,,
Administrator,"26572","27495","28629","29397","30060","30830","31616","32491","33224","34378","35541","36715","37403","38396","39212","39926","40912","41892",,,,,,,,,,,,,,,,,
EPS Portfolio Manager,"86389","90698","95005","99296","103583","107874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Category Manager,"67131","69712","72480","75725","79087","82103","86389","90698",,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Category Specialist Higher,"58656","60174","61704","63240","64775","66318","68510","72779",,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS Category Specialist,"44752","47047","49360","51269","53219","55306","57462","59558",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Librarian,"64830","68413","71505","74734","77824","80106","83065","86613","90308","93715","97127","100531","102234","104052","106850",,,,,,,,,,,,,,,,,,,,
Assistant Librarian 2,"58657","60174","61704","63240","64776","66317","68510","72779","77291","79691","83397",,,,,,,,,,,,,,,,,,,,,,,,
